feature,Class,Average of Value,Year
brush,0,0.0852133184671402,2012
brush,0,0.713553786277771,2013
brush,0,0.1239957064390182,2014
brush,0,0.08639556169509888,2015
brush,0,0.1730646044015884,2016
brush,0,-0.2817545533180237,2017
brush,0,-0.6525521874427795,2018
brush,0,0.5371842384338379,2019
brush,0,-0.1409555971622467,2020
brush,0,-0.07799764722585678,2021
brush,0,0.3186110258102417,2022
brush,1,-0.09654740244150162,2010
brush,1,0.1100620329380035,2011
brush,1,-0.08400190621614456,2012
brush,1,-0.6489344835281372,2013
brush,1,-0.2037462145090103,2014
brush,1,0.003866770071908832,2015
brush,1,-0.1809929609298706,2016
brush,1,0.2744382917881012,2017
brush,1,0.6580427885055542,2018
brush,1,-0.6648620367050171,2019
brush,1,0.1599046140909195,2020
brush,1,0.07272222638130188,2021
brush,1,-0.2612564265727997,2022
brutal,0,-0.259255051612854,2010
brutal,0,-0.7777977585792542,2011
brutal,0,0.08639062941074371,2012
brutal,0,-0.1913112103939056,2013
brutal,0,0.1022578999400139,2014
brutal,0,0.1984318345785141,2015
brutal,0,-0.1423559337854385,2016
brutal,0,-0.09043312072753906,2017
brutal,0,-0.7104430198669434,2018
brutal,0,0.2218180000782013,2019
brutal,0,-0.1531231254339218,2020
brutal,0,0.09010814875364304,2021
brutal,0,0.04361562430858612,2022
brutal,1,0.2420734465122223,2010
brutal,1,0.8895101547241211,2011
brutal,1,-0.06427434831857681,2012
brutal,1,0.276140421628952,2013
brutal,1,-0.09669431298971176,2014
brutal,1,-0.2545681595802307,2015
brutal,1,0.0598447248339653,2016
brutal,1,0.1325652152299881,2017
brutal,1,0.5227848887443542,2018
brutal,1,-0.2699691355228424,2019
brutal,1,0.1602651923894882,2020
brutal,1,-0.02222229540348053,2021
brutal,1,-0.03315697982907295,2022
brute,0,0.07235895097255707,2010
brute,0,0.7879976034164429,2011
brute,0,0.03657654672861099,2012
brute,0,0.4958371222019196,2013
brute,0,0.7332776784896851,2014
brute,0,-1.149864315986633,2015
brute,0,0.4136114418506622,2016
brute,0,-0.03389816358685493,2017
brute,0,0.6100959777832031,2018
brute,0,0.1778555512428284,2019
brute,0,0.2756084501743317,2020
brute,0,0.186044454574585,2021
brute,0,0.0742947980761528,2022
brute,1,0.007133247796446085,2010
brute,1,-1.395801544189453,2011
brute,1,-0.03978721424937248,2012
brute,1,-0.4157108962535858,2013
brute,1,-1.03592050075531,2014
brute,1,1.518143653869629,2015
brute,1,-0.4735481739044189,2016
brute,1,-0.007391041610389948,2017
brute,1,-0.6660557389259338,2018
brute,1,-0.3454903662204742,2019
brute,1,-0.2802069783210754,2020
brute,1,-0.1252244561910629,2021
brute,1,-0.05594688281416893,2022
brutish,0,0.003777594771236181,2010
brutish,0,-0.07105229794979095,2011
brutish,0,0.09395942836999893,2012
brutish,0,-0.3140754997730255,2013
brutish,0,0.368564784526825,2014
brutish,0,-0.0385698527097702,2015
brutish,0,0.2618226706981659,2016
brutish,0,-0.04678218439221382,2017
brutish,0,-0.1154588535428047,2018
brutish,0,-0.1416197121143341,2019
brutish,0,0.05492350086569786,2020
brutish,0,-0.1742899566888809,2021
brutish,0,-0.01668349467217922,2022
brutish,1,-0.08341352641582489,2010
brutish,1,0.1003088504076004,2011
brutish,1,-0.0950319916009903,2012
brutish,1,0.2796392738819122,2013
brutish,1,-0.4796038568019867,2014
brutish,1,0.0704689472913742,2015
brutish,1,-0.3077767789363861,2016
brutish,1,-0.02681533060967922,2017
brutish,1,0.1360171139240265,2018
brutish,1,0.1851703375577927,2019
brutish,1,-0.0746258944272995,2020
brutish,1,0.1398390382528305,2021
brutish,1,0.01248429529368877,2022
bullet,0,0.9757478833198547,2010
bullet,0,-0.1909278929233551,2011
bullet,0,0.7667260766029358,2012
bullet,0,0.3789172470569611,2013
bullet,0,0.09124690294265747,2014
bullet,0,0.5286030173301697,2015
bullet,0,-0.2721952795982361,2016
bullet,0,0.1631999015808105,2017
bullet,0,0.5384929180145264,2018
bullet,0,0.4281171560287476,2019
bullet,0,-0.04246954247355461,2020
bullet,0,0.0894385576248169,2021
bullet,0,0.5808842182159424,2022
bullet,1,-0.7079381346702576,2010
bullet,1,0.03709403052926064,2011
bullet,1,-0.8022926449775696,2012
bullet,1,-0.3246733844280243,2013
bullet,1,-0.112285241484642,2014
bullet,1,-0.6867399215698242,2015
bullet,1,0.2447893172502518,2016
bullet,1,-0.05050031095743179,2017
bullet,1,-0.4777660369873047,2018
bullet,1,-0.5550334453582764,2019
bullet,1,0.03348209336400032,2020
bullet,1,-0.03894178196787834,2021
bullet,1,-0.4973351955413818,2022
bully,0,-0.7892417311668396,2010
bully,0,0.119000256061554,2011
bully,0,-0.4438131153583527,2012
bully,0,-0.3978322446346283,2013
bully,0,-0.06406686455011368,2014
bully,0,-0.4061612784862518,2015
bully,0,-0.262837678194046,2016
bully,0,0.1445933282375336,2017
bully,0,0.08772408217191696,2018
